username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
MOTS25110,Poseur de mots...,France,54,45,6315,2013-09-30 09:06:06,2021-01-13 13:24:54,90,"#Vaccin #Veran #Macron 
« On les aura, ces connards » : l'élégance avec laquelle le Président Macron a manifesté son soutien à Véran :
- Bon LES CONNARDS c'est quoi ce bordel ... allez colonne par un et direction la #vaccination ! https://t.co/BNvkT9DGDS","[{'text': 'Vaccin', 'indices': [14, 21]}, {'text': 'Veran', 'indices': [22, 28]}, {'text': 'Macron', 'indices': [29, 36]}]"
aglaepheryl,"🇫🇷Combat l'endoctrinement, l'idéologie prosélyte, cherche qui tire les marrons du feu et ne débat que des faits! Amoureux de la France & passionné d'histoire.🇫🇷",,1562,1140,89930,2010-08-03 08:43:01,2021-01-13 13:24:47,90,"#Vaccin #Veran #Macron 
« On les aura, ces connards » : l'élégance avec laquelle le Président Macron a manifesté son soutien à Véran :
- Bon LES CONNARDS c'est quoi ce bordel ... allez colonne par un et direction la #vaccination ! https://t.co/BNvkT9DGDS","[{'text': 'Vaccin', 'indices': [14, 21]}, {'text': 'Veran', 'indices': [22, 28]}, {'text': 'Macron', 'indices': [29, 36]}]"
Prefet30,Compte officiel des services de l'État dans le Gard (30).,,615,12226,20915,2014-10-30 09:38:46,2021-01-13 13:24:15,28,#Vaccination | Quelles étapes pour la campagne de vaccination contre la #COVID19 ? ⤵,"[{'text': 'Vaccination', 'indices': [18, 30]}, {'text': 'COVID19', 'indices': [90, 98]}]"
astsof,"le ciel est par-dessus le toit 
si bleu si calme 
un arbre par-dessus le toit berce sa palme 
la cloche dans le ciel qu on voit doucement tinte  un oiseau dans",,1603,1578,309221,2013-02-28 19:15:05,2021-01-13 13:23:39,113,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
Bouenikalamio2,"Le hasard ne favorise que les esprits préparés.
Pasteur","Angers, France",134,60,5411,2016-03-22 18:03:25,2021-01-13 13:23:36,0,"C'est cette perspective ""d'évasion immunitaire"" qui préoccupe les scientifiques, avec en ligne de mire la question de l'efficacité des #vaccins.
#vaccination #antivax #CoronavirusFacts 
https://t.co/afvnDZwKAO","[{'text': 'vaccins', 'indices': [135, 143]}, {'text': 'vaccination', 'indices': [145, 157]}, {'text': 'antivax', 'indices': [158, 166]}, {'text': 'CoronavirusFacts', 'indices': [167, 184]}]"
r_dassault,mais c’est insupportable à la fin,,774,903,1373,2017-03-14 14:40:41,2021-01-13 13:23:35,0,"Un #vaccin ne fait pas effet immédiatement, 2 injections sont nécessaires pour une efficacité optimale, la contamination au #Covid_19 peut-être antérieure... il y a pleins d'explications autre que le vaccin ne fonctionne pas. https://t.co/jbpf7SKqpP","[{'text': 'vaccin', 'indices': [3, 10]}, {'text': 'Covid_19', 'indices': [124, 133]}]"
ClubAssDentaire,"Petite assistante dentaire , formatrice et blogueuse du club assistante dentaire ! Nous sommes nos choix : je suis #philo #art #dentaire #engagée #santépublique","Bordeaux, France",1860,448,1987,2016-10-22 09:48:05,2021-01-13 13:23:21,0,"La #vaccination HPV recommandée depuis 2008 pour les filles, est depuis 2020, également inscrite au calendrier vaccinal de tous les garçons 
On estime que 70% des hommes et femmes #sexuellement actifs le rencontreront au moins une fois dans leur vie 

 https://t.co/k9wp5FLt79","[{'text': 'vaccination', 'indices': [3, 15]}, {'text': 'sexuellement', 'indices': [180, 193]}]"
Casier75,"Twitter, c’est bien. La grève, c’est mieux. 
Raciste, sexiste, homophobe et/ou journaliste éducation au Figaro : passe ton chemin ou change d’avis.",,584,306,7934,2018-03-22 10:42:30,2021-01-13 13:23:02,84,"#Covid_19 Lycée classe de 38 élèves . Piscine en demi-groupe. Dans ce groupe : un cas confirmé. Il me semblerait logique et plus prudent de considérer, au moins, tout le groupe piscine, cas contact. Mais non, cas contact uniquement si symptômes. @jmblanquer ?! CC @stylos_les","[{'text': 'Covid_19', 'indices': [17, 26]}]"
Karineimmunise,,,152,95,3292,2017-07-30 09:18:38,2021-01-13 13:22:56,3,"📺200 professionnels de santé de plus de 50 ans ou atteints de comorbidités, vaccinés au @CLCCLeonBerard  
A voir ▶️https://t.co/UKQN2HFusc

#COVID19 #vaccination",[]
Swiss_Pepita,"""Le plus souvent on cherche son bonheur comme on cherche ses lunettes : quand on les a sur le nez"" François Droz. Flexitarienne, Multitâche, 🇨🇭pro 🇪🇺 🌈♿️🍃","Rhône-Alpes, France",2588,1968,297740,2012-06-12 15:52:36,2021-01-13 13:22:54,0,@InesDucommun @romainejean J'ai lu ce matin que la variation française du #Covid_19 était en grève .. on est tranquille pour le moment de ce côté-là ! 🙃🥴,"[{'text': 'Covid_19', 'indices': [74, 83]}]"
LeSpotted,#1825army Supp du Psg à jamais | fou de #OnePiece Fanboy de Sanji | pro-nucléaire | pro 5G | pro OGM réglementés,Grand Line,822,414,21231,2016-10-23 20:43:49,2021-01-13 13:22:31,27154,🔴 URGENT - TOUS LES ÉTABLISSEMENTS SCOLAIRES FERMÉS EN FRANCE À PARTIR DE LUNDI JUSQU'À NOUVEL ORDRE. #Covid_19 #macron20h,"[{'text': 'Covid_19', 'indices': [118, 127]}, {'text': 'macron20h', 'indices': [128, 138]}]"
alainde96544302,Space Worker,France,353,279,25583,2019-11-12 20:14:01,2021-01-13 13:22:04,36,"Dans un mois ça fera un an. Mon odorat est revenu à moitié, j'ai 80 ans certains jours mais 26 au printemps. Mon mental trébuche parfois mais j'accepte
Bon courage à tous 🌼 et merci encore
#apresJ20 #COVID #covidlong #COVID19 #LongCovid #COVID19france #Covid_19",[]
salutcgvetan,@QPromes • @JaMorant • #GrindCity,C,292,304,8856,2020-12-23 11:46:38,2021-01-13 13:22:00,27154,🔴 URGENT - TOUS LES ÉTABLISSEMENTS SCOLAIRES FERMÉS EN FRANCE À PARTIR DE LUNDI JUSQU'À NOUVEL ORDRE. #Covid_19 #macron20h,"[{'text': 'Covid_19', 'indices': [118, 127]}, {'text': 'macron20h', 'indices': [128, 138]}]"
mennzelll,Islam / Tunisia/ @realmadrid in that order || @MesutOzil1088 ils comprendront dans 100 ans,// menzel jemil,697,426,6161,2020-06-27 14:32:58,2021-01-13 13:21:56,27154,🔴 URGENT - TOUS LES ÉTABLISSEMENTS SCOLAIRES FERMÉS EN FRANCE À PARTIR DE LUNDI JUSQU'À NOUVEL ORDRE. #Covid_19 #macron20h,"[{'text': 'Covid_19', 'indices': [118, 127]}, {'text': 'macron20h', 'indices': [128, 138]}]"
maryse_mars,,,367,1550,423837,2016-08-18 14:39:49,2021-01-13 13:21:51,17,"#COVID_19 – Gorilles, tigres, visons… Ces animaux infectés (ou sensibles) au Sars-CoV-2

Au moins trois des gorilles du zoo de San Diego ont été testé positifs au Covid-19 après avoir été vraisemblablement contaminés par un soigneur asymptomatique. ⤵ https://t.co/AajZVuNyCj","[{'text': 'COVID_19', 'indices': [10, 19]}]"
Michael_Cnvs,Directeur de cabinet - @GroupeUNICANCER,Paris,370,120,91,2015-06-16 13:01:35,2021-01-13 13:21:46,17,[Communiqué de presse] Unicancer émet des recommandations quant aux modalités de #vaccination des #patients traités pour #cancer et les #CLCC du réseau se mobilisent pour procéder à la vaccination des #ProDeSanté prioritaires. https://t.co/CRxJAL4LT6,"[{'text': 'vaccination', 'indices': [102, 114]}, {'text': 'patients', 'indices': [119, 128]}]"
marie_giannoni,J’aime mon pays la France 🇫🇷 🇫🇷#jambonbeurre 🇫🇷#Teampatriote🇫🇷🇫🇷#jesoutienzemmour🇫🇷#Frexit,,2855,3486,5078,2020-03-19 10:45:59,2021-01-13 13:21:28,90,"#Vaccin #Veran #Macron 
« On les aura, ces connards » : l'élégance avec laquelle le Président Macron a manifesté son soutien à Véran :
- Bon LES CONNARDS c'est quoi ce bordel ... allez colonne par un et direction la #vaccination ! https://t.co/BNvkT9DGDS","[{'text': 'Vaccin', 'indices': [14, 21]}, {'text': 'Veran', 'indices': [22, 28]}, {'text': 'Macron', 'indices': [29, 36]}]"
JmorandCAQ,Attaché politique du cabinet du Whip en chef,Coalition avenir Québec,379,704,575,2015-02-08 15:47:15,2021-01-13 13:21:25,16,"Amenez-en des vaccins! La vaccination pour les professionnels de la santé roule bien. Il faut la même chose pour tous les Québécois.

#polqc
#vaccination 
#COVID19 https://t.co/IRyY4iBnNs",[]
actualites_nrv,Verified account #NiceRendezVous® #News #Politique #Culture #Tourisme #Histoire #Nice Azur #Monaco #FrenchRiviera #Provence #Presse #Journaliste #SUD #Nice06,Provence-Alpes-Côte d'Azur,240,14566,165569,2010-02-19 13:25:10,2021-01-13 13:21:24,0,"Une bourde, ils se sont trompé de virus… et de chiffre… #Covid_19 #Nice #Nice06 https://t.co/aroH5FfYGt","[{'text': 'Covid_19', 'indices': [56, 65]}, {'text': 'Nice', 'indices': [66, 71]}, {'text': 'Nice06', 'indices': [72, 79]}]"
pupinanie,"n'attendons pas, ne pesons pas nos risques, il n'y en a qu'un seul qui n'est pas de finir car nous finirons tous mais de finir sans avoir commencé.",France,496,533,38893,2015-09-09 08:32:33,2021-01-13 13:21:24,47,"#EmmanuelMacron répond aux #opposants impatients de la #vaccination: ""Ceux qui me disent ça ne va pas assez vite aujourd’hui sont ceux qui disaient ça va trop vite en décembre"" ""Nous nous sommes responsables, et ça prend plus de temps qu’un tweet"" https://t.co/PMOj5W2PZW","[{'text': 'EmmanuelMacron', 'indices': [15, 30]}, {'text': 'opposants', 'indices': [42, 52]}, {'text': 'vaccination', 'indices': [70, 82]}]"
TomasiJo,,,1152,299,7153,2020-02-27 12:37:11,2021-01-13 13:21:06,28,"Vaccination :
Suppression du consentement voulu par Macron 
Si nous acceptons de perdre le contrôle de notre corps la Dictature ne marche plus, elle court.
#COVID19 #vaccination https://t.co/xsbmbPWArC",[]
Jazsg7,"@PSG_inside X @vald_ld                                                    Pas de match amical, on joue la finale 📡",Jsuis à l’Est ,582,858,7727,2019-10-13 19:38:35,2021-01-13 13:20:45,27154,🔴 URGENT - TOUS LES ÉTABLISSEMENTS SCOLAIRES FERMÉS EN FRANCE À PARTIR DE LUNDI JUSQU'À NOUVEL ORDRE. #Covid_19 #macron20h,"[{'text': 'Covid_19', 'indices': [118, 127]}, {'text': 'macron20h', 'indices': [128, 138]}]"
RetraiT_Taxai,"#DégagezEnMarche
#HalteAuPrivilegePress
#AvecLesCheminots
#AntiBashingSNCF
#ZadHopital
#ZadSncf
#Covid19
#PoseTaPhilippade
#RipouxBliqueEnMarche
#GouverNouMen",http://compte-a-rebours-emmanu,900,669,80713,2017-04-03 10:18:42,2021-01-13 13:20:22,90,"#Vaccin #Veran #Macron 
« On les aura, ces connards » : l'élégance avec laquelle le Président Macron a manifesté son soutien à Véran :
- Bon LES CONNARDS c'est quoi ce bordel ... allez colonne par un et direction la #vaccination ! https://t.co/BNvkT9DGDS","[{'text': 'Vaccin', 'indices': [14, 21]}, {'text': 'Veran', 'indices': [22, 28]}, {'text': 'Macron', 'indices': [29, 36]}]"
Fauxchoyeur,"Choyons nombreux, choyons heureux|

Mais surtout, Choyons nous-mêmes|

🏚️Choyeuses fêtes ❤️

Mastodon : @Fauxchoyeur@mamot.fr (https://t.co/yKTbAkDUdR)",,247,174,3196,2020-06-14 23:23:04,2021-01-13 13:20:06,84,"#Covid_19 Lycée classe de 38 élèves . Piscine en demi-groupe. Dans ce groupe : un cas confirmé. Il me semblerait logique et plus prudent de considérer, au moins, tout le groupe piscine, cas contact. Mais non, cas contact uniquement si symptômes. @jmblanquer ?! CC @stylos_les","[{'text': 'Covid_19', 'indices': [17, 26]}]"
CharlieColas6,,,406,32,388,2020-04-13 09:14:44,2021-01-13 13:20:05,77,"La France ""préfère"" un certificat de #vaccination ou QRcode pour voyager au lieu du passeport d'immunité.
Le même #QRcode proposé par CédricO sur #TousAntiCovid?Ou le #CommonPass du WorldEconomicForum prônant le #GreatReset? Et on nous disait complotistes.
https://t.co/RY14E4IKGW https://t.co/0dMS2EPx4u","[{'text': 'vaccination', 'indices': [53, 65]}, {'text': 'QRcode', 'indices': [130, 137]}]"
oursurbain,,Dijon - France,307,216,14693,2014-07-06 16:17:51,2021-01-13 13:19:49,90,"#Vaccin #Veran #Macron 
« On les aura, ces connards » : l'élégance avec laquelle le Président Macron a manifesté son soutien à Véran :
- Bon LES CONNARDS c'est quoi ce bordel ... allez colonne par un et direction la #vaccination ! https://t.co/BNvkT9DGDS","[{'text': 'Vaccin', 'indices': [14, 21]}, {'text': 'Veran', 'indices': [22, 28]}, {'text': 'Macron', 'indices': [29, 36]}]"
AlainSerge14,"L'homme est la mesure de toute chose.
Protagoras","Angers, France",118,57,5522,2016-08-21 13:33:17,2021-01-13 13:19:34,0,"La mutation E484K du #SARSCoV2, aussi appelée variant sud-africain, inquiète les scientifiques. Elle pourrait nuire à l'efficacité des #vaccins développés contre le #COVID19.
#CoronavirusFacts #antivax #vaccination 
https://t.co/hUL8rjWSRl","[{'text': 'SARSCoV2', 'indices': [21, 30]}, {'text': 'vaccins', 'indices': [135, 143]}, {'text': 'COVID19', 'indices': [165, 173]}, {'text': 'CoronavirusFacts', 'indices': [175, 192]}, {'text': 'antivax', 'indices': [193, 201]}, {'text': 'vaccination', 'indices': [202, 214]}]"
jblr31,,"Tournefeuille, France",127,5,547,2010-02-01 22:16:39,2021-01-13 13:19:20,0,"@LCI Il faut un #confinement dur associe à une campagne de #vaccination massive pour espérer sans sortir sur le long terme au moins en France 

Plus on vaccinera vite plus vite on parlera d'autre chose rapidement

#TousMobilisés contre #Covid_19 

Evitons les #stopandgo a repetiton!","[{'text': 'confinement', 'indices': [16, 28]}, {'text': 'vaccination', 'indices': [59, 71]}, {'text': 'TousMobilisés', 'indices': [214, 228]}, {'text': 'Covid_19', 'indices': [236, 245]}, {'text': 'stopandgo', 'indices': [260, 270]}]"
VotezPoisson,"Votez Jean-Frédéric Poisson (@JFPoisson78) aux prochaines élections. Il lutte contre l'#immigration, la #PMA, la #GPA. le #MariageGay et l'#Avortement👌","Paris, France",3798,18653,737141,2016-08-07 14:13:24,2021-01-13 13:19:02,2,"Ils devraient proposer de tatouer sur le bras le numéro indiquant ils sont la quantième personne à se faire vacciner! 
#COVID19 #vaccincovid #Vaccin https://t.co/L8Dacqw398",[]
RomainL34,futur Community Manager  #cm #socialmedia #reseauxsociaux #jeuxvideo #i4emploi,"Sète, France",207,50,4928,2017-04-05 07:45:59,2021-01-13 13:18:59,5,"#COVID19: faut-il s'inquiéter des nouveaux variants ? ""Pour l'instant, les 1ères données communiquées laissent penser que les anticorps générés par la vaccination sont actifs contre ce nouveau variant anglais"", Odile Launay, membre du comité #vaccincovid dans #RTLMidi - @krissreb https://t.co/lTqwGqqbzN","[{'text': 'COVID19', 'indices': [13, 21]}]"
camino_del_rey_,"❤💙

Chemin du Roi ⚜",Parc des Princes ,296,41,776,2020-09-29 09:51:27,2021-01-13 13:18:49,27154,🔴 URGENT - TOUS LES ÉTABLISSEMENTS SCOLAIRES FERMÉS EN FRANCE À PARTIR DE LUNDI JUSQU'À NOUVEL ORDRE. #Covid_19 #macron20h,"[{'text': 'Covid_19', 'indices': [118, 127]}, {'text': 'macron20h', 'indices': [128, 138]}]"
FHF_PL,(@FHF_PL) anime le réseau public des #hôpitaux et des établissements médico-sociaux pour la région @paysdelaloire #santé #hôpitalpublic #ehpad #servicepublic,"Nantes, Pays de la Loire",2495,2889,1855,2014-02-14 20:07:28,2021-01-13 13:18:49,1,"Les 5 CH/U, pivots #vaccination en Pays de Loire, s’organisent pour garantir la solidarité vers les professionnels de santé et populations à risque et EHPAD. Le stock régional de vaccins est utilisé au service de tous @chu_angers @CHUnantes @CHLeMans #CHDVendée #CHLaval @ars_pdl https://t.co/lM4ydWKTc4","[{'text': 'vaccination', 'indices': [31, 43]}]"
neomedia_VS,,,24,346,14670,2015-04-24 20:21:55,2021-01-13 13:18:40,0,Vaccination complétée pour les aînés demeurant en CHSLD de la région #vaccination #complete #2021 #CHSLD #publics #prives  https://t.co/ZfnGYB5RWw https://t.co/czlg0dIraR,"[{'text': 'vaccination', 'indices': [69, 81]}, {'text': 'complete', 'indices': [82, 91]}, {'text': 'CHSLD', 'indices': [98, 104]}, {'text': 'publics', 'indices': [105, 113]}, {'text': 'prives', 'indices': [114, 121]}]"
Messara14,Humour,,19,322,70435,2020-03-19 14:37:27,2021-01-13 13:18:20,6,"Tous ces élus des #oppositions qui exigent que la #vaccination accélèrent davantage, notamment en région #PACA sont soit irresponsables soit pris de panique. Il semble en effet que le rythme des injections réalisées en France en pleine sécurité soit désormais assez remarquable.","[{'text': 'oppositions', 'indices': [33, 45]}, {'text': 'vaccination', 'indices': [65, 77]}, {'text': 'PACA', 'indices': [120, 125]}]"
bloginfo,"Maire de Saint-Eloi-de-Fourques (#Eure) près de #Brionne et de #Bernay - Ni Dieu, ni Maître et, surtout, plus d'écologie.",France,176,770,14127,2007-06-16 05:12:17,2021-01-13 13:18:17,0,"Oui à la #vaccination. Pour ma part, ce sera #NON à la technologie dite à #ARNm ! Je fais partie des vaccino-prudents. Nous sommes tous vaccinés dans la famille. Ma fille a eu un vaccin non obligatoire contre la méningite et nous souhaitons la vacciner contre la tuberculose. https://t.co/yRPxNM6amw","[{'text': 'vaccination', 'indices': [9, 21]}, {'text': 'NON', 'indices': [45, 49]}, {'text': 'ARNm', 'indices': [74, 79]}]"
JonathanVannie6,Ingénieur hospitalier #perpignan #developpementdurable #bim #rse #construction #architecture #sante #inp_toulouse #ehesp #utc — compte personnel —,"Perpignan, France",184,124,185,2019-01-01 11:00:54,2021-01-13 13:18:15,6,"💉#vaccincovid #cooperation #transfrontalier #hopital

La #vaccinationCovid s'organise dans l'espace #transfrontalier catalan à l'@HospiCerdanya où les personnels français 👨‍⚕️👩‍⚕️ ont été vaccinés. 
@ChPerpignan @ARS_OC  @MinSoliSante @salutcat 

#Avancem #Tenirensemble https://t.co/M5DUPc2Zrk","[{'text': 'vaccincovid', 'indices': [18, 30]}, {'text': 'cooperation', 'indices': [31, 43]}, {'text': 'transfrontalier', 'indices': [44, 60]}, {'text': 'hopital', 'indices': [61, 69]}, {'text': 'vaccinationCovid', 'indices': [74, 91]}, {'text': 'transfrontalier', 'indices': [117, 133]}]"
DespaigneElyane,,,150,144,39091,2014-09-13 10:33:41,2021-01-13 13:17:53,113,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
NC4415,"Stop à la peur et à la dictature sanitaire
#resistance 
#stoppsychose 
#onnousprendpourdescons 
#liberté #MacronDestitution",,24,613,35346,2019-06-11 15:06:11,2021-01-13 13:17:51,113,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
75Shanta,@PSG_Inside,Paris,542,157,7847,2017-05-10 11:33:06,2021-01-13 13:17:39,27154,🔴 URGENT - TOUS LES ÉTABLISSEMENTS SCOLAIRES FERMÉS EN FRANCE À PARTIR DE LUNDI JUSQU'À NOUVEL ORDRE. #Covid_19 #macron20h,"[{'text': 'Covid_19', 'indices': [118, 127]}, {'text': 'macron20h', 'indices': [128, 138]}]"
PJEDOUARD,"dans sa jeunesse UDT, gaulliste de gauche, trouve dans ""en marche"" avec E.Macron, la Renaissance de la France","Granville, France",830,1688,48487,2014-01-07 15:14:40,2021-01-13 13:17:22,6,"Tous ces élus des #oppositions qui exigent que la #vaccination accélèrent davantage, notamment en région #PACA sont soit irresponsables soit pris de panique. Il semble en effet que le rythme des injections réalisées en France en pleine sécurité soit désormais assez remarquable.","[{'text': 'oppositions', 'indices': [33, 45]}, {'text': 'vaccination', 'indices': [65, 77]}, {'text': 'PACA', 'indices': [120, 125]}]"
